2026-07-10 14:56:33 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:33 INFO    Encryption key loaded from C:\Learning & Development\aether_console\shared_networking\aether.key
2026-07-10 14:56:33 INFO    [AUTH] Credentials loaded from C:\Learning & Development\aether_console\shared_networking\credentials.json
2026-07-10 14:56:34 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:35 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:36 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:37 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:38 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:39 INFO    [AUTH] Login successful: admin (role=admin)
2026-07-10 14:56:39 INFO    [AUTH] Session created for admin: 340cbedd...
2026-07-10 14:56:39 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 1 subscribers
2026-07-10 14:56:39 INFO    [BROKER] New connection from ('127.0.0.1', 49552)
2026-07-10 14:56:39 INFO    [AUTH] Session created for admin: 382a9fc9...
2026-07-10 14:56:39 INFO    [BROKER] Client trusted: surgeon_console (user=admin, role=admin)
2026-07-10 14:56:39 INFO    [BROKER] Handshake from 'surgeon_console' — pub=['patient_vitals'], sub=['alerts', 'connection_status', 'system_status', 'robot_telemetry']
2026-07-10 14:56:39 INFO    [BROKER] 'surgeon_console' subscribed to ['robot_telemetry', 'alerts', 'connection_status', 'system_status']
2026-07-10 14:56:40 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:40 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:41 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:56:41 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:56:42 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
